name,type,category,population
Belgium,1,World,3684507285
Belgium,2,Belgium,9828986
Belgium,2,World,4432571385
Belgium,3,Belgium,9959560
Belgium,3,World,5304232105
Belgium,4,Belgium,10264343
Belgium,4,World,6136791360
Belgium,5,Belgium,10877947
Belgium,5,World,6972907051
Belgium,6,Belgium,11248303
Belgium,6,World,7413561458
Belgium,7,Belgium,11561717
Belgium,7,World,7827688886
Belize,1,Belize,120905
Belize,1,World,3694015756
Belize,2,Belize,145133
Belize,2,World,4442255238
Belize,3,Belize,182589
Belize,3,World,5314009076
Belize,4,Belize,240406
Belize,4,World,6146815297
Belize,5,Belize,322106
Belize,5,World,6983462892
Belize,6,Belize,359871
Belize,6,World,7424449890
Belize,7,Belize,394921
Belize,7,World,7838855682
Benin,1,Benin,3023443
Benin,1,World,3691113218
Benin,2,Benin,3833939
Benin,2,World,4438566432
Benin,3,Benin,5133419
Benin,3,World,5309058246
Benin,4,Benin,6998023
Benin,4,World,6140057680
Benin,5,Benin,9445710
Benin,5,World,6974339288
Benin,6,Benin,10932783
Benin,6,World,7413876978
Benin,7,Benin,12643123
Benin,7,World,7826607480
Bermuda,1,Bermuda,52019
Bermuda,1,World,3694084642
Bermuda,2,Bermuda,53565
Bermuda,2,World,4442346806
Bermuda,3,Bermuda,57470
Bermuda,3,World,5314134195
Bermuda,4,Bermuda,61371
Bermuda,4,World,6146994332
Bermuda,5,Bermuda,63447
Bermuda,5,World,6983721551
Bermuda,6,Bermuda,63144
Bermuda,6,World,7424746617
Bermuda,7,Bermuda,64031
Bermuda,7,World,7839186572
Bhutan,1,Bhutan,298894
Bhutan,1,World,3693837767
Bhutan,2,Bhutan,415257
Bhutan,2,World,4441985114
Bhutan,3,Bhutan,558442
Bhutan,3,World,5313633223
Bhutan,4,Bhutan,587207
Bhutan,4,World,6146468496
Bhutan,5,Bhutan,705516
Bhutan,5,World,6983079482
Bhutan,6,Bhutan,743274
Bhutan,6,World,7424066487
Bhutan,7,Bhutan,772506
Bhutan,7,World,7838478097
Bolivia,1,Bolivia,4585693
Bolivia,1,World,3689550968
Bolivia,2,Bolivia,5736088
Bolivia,2,World,4436664283
Bolivia,3,Bolivia,7096194
Bolivia,3,World,5307095471
Bolivia,4,Bolivia,8592656
Bolivia,4,World,6138463047
Bolivia,5,Bolivia,10223270
Bolivia,5,World,6973561728
Bolivia,6,Bolivia,11090085
Bolivia,6,World,7413719676
Bolivia,7,Bolivia,11936162
Bolivia,7,World,7827314441
Bosnia and Herzegovina,1,Bosnia and Herzegovina,3815561
Bosnia and Herzegovina,1,World,3690321100
Bosnia and Herzegovina,2,Bosnia and Herzegovina,4199820
Bosnia and Herzegovina,2,World,4438200551
Bosnia and Herzegovina,3,Bosnia and Herzegovina,4494310
Bosnia and Herzegovina,3,World,5309697355
Bosnia and Herzegovina,4,Bosnia and Herzegovina,4179350
Bosnia and Herzegovina,4,World,6142876353
Bosnia and Herzegovina,5,Bosnia and Herzegovina,3811088
Bosnia and Herzegovina,5,World,6979973910
Bosnia and Herzegovina,6,Bosnia and Herzegovina,3524324
Bosnia and Herzegovina,6,World,7421285437
Bosnia and Herzegovina,7,Bosnia and Herzegovina,3318407
Bosnia and Herzegovina,7,World,7835932196
Botswana,1,Botswana,592244
Botswana,1,World,3693544417
Botswana,2,Botswana,938578
Botswana,2,World,4441461793
Botswana,3,Botswana,1341474
Botswana,3,World,5312850191
Botswana,4,Botswana,1726985
Botswana,4,World,6145328718
Botswana,5,Botswana,2091664
Botswana,5,World,6981693334
Botswana,6,Botswana,2305171
Botswana,6,World,7422504590
Botswana,7,Botswana,2546402
Botswana,7,World,7836704201
Brazil,1,Brazil,96369875
Brazil,1,World,3597766786
Brazil,2,Brazil,122288383
Brazil,2,World,4320111988
Brazil,3,Brazil,150706446
Brazil,3,World,5163485219
Brazil,4,Brazil,175873720
Brazil,4,World,5971181983
Brazil,5,Brazil,196353492
Brazil,5,World,6787431506
Brazil,6,Brazil,205188205
Brazil,6,World,7219621556
Brazil,7,Brazil,213196304
Brazil,7,World,7626054299
British Virgin Islands,1,British Virgin Islands,9581
British Virgin Islands,1,World,3694127080
British Virgin Islands,2,British Virgin Islands,11109
