name,type,category,population
Cape Verde,2,Africa,481219143
Cape Verde,3,Cape Verde,364563
Cape Verde,3,Africa,637786066
Cape Verde,4,Cape Verde,458251
Cape Verde,4,Africa,818487781
Cape Verde,5,Cape Verde,521212
Cape Verde,5,Africa,1054706860
Cape Verde,6,Cape Verde,552166
Cape Verde,6,Africa,1200550276
Cape Verde,7,Cape Verde,582640
Cape Verde,7,Africa,1360089170
Cayman Islands,1,Cayman Islands,10533
Cayman Islands,1,North America,315424073
Cayman Islands,2,Cayman Islands,17100
Cayman Islands,2,North America,368276261
Cayman Islands,3,Cayman Islands,26027
Cayman Islands,3,North America,421240398
Cayman Islands,4,Cayman Islands,39658
Cayman Islands,4,North America,486029926
Cayman Islands,5,Cayman Islands,54074
Cayman Islands,5,North America,542666577
Cayman Islands,6,Cayman Islands,60911
Cayman Islands,6,North America,570322939
Cayman Islands,7,Cayman Islands,67311
Cayman Islands,7,North America,594169282
Central African Republic,1,Central African Republic,2067356
Central African Republic,1,Africa,363376992
Central African Republic,2,Central African Republic,2415276
Central African Republic,2,Africa,479121101
Central African Republic,3,Central African Republic,2809221
Central African Republic,3,Africa,635341408
Central African Republic,4,Central African Republic,3759170
Central African Republic,4,Africa,815186862
Central African Republic,5,Central African Republic,4660067
Central African Republic,5,Africa,1050568005
Central African Republic,6,Central African Republic,4819333
Central African Republic,6,Africa,1196283109
Central African Republic,7,Central African Republic,5343020
Central African Republic,7,Africa,1355328790
Chad,1,Chad,3667394
Chad,1,Africa,361776954
Chad,2,Chad,4408230
Chad,2,Africa,477128147
Chad,3,Chad,5827069
Chad,3,Africa,632323560
Chad,4,Chad,8259137
Chad,4,Africa,810686895
Chad,5,Chad,11894727
Chad,5,Africa,1043333345
Chad,6,Chad,14140274
Chad,6,Africa,1186962168
Chad,7,Chad,16644701
Chad,7,Africa,1344027109
Chile,1,Chile,9820481
Chile,1,South America,183126675
Chile,2,Chile,11469828
Chile,2,South America,230319178
Chile,3,Chile,13342868
Chile,3,South America,283803547
Chile,4,Chile,15351799
Chile,4,South America,334282483
Chile,5,Chile,17004162
Chile,5,South America,376074088
Chile,6,Chile,17870124
Chile,6,South America,395264272
Chile,7,Chile,19300315
Chile,7,South America,412229728
China,1,China,822534450
China,1,Asia,1322371840
China,2,China,982372466
China,2,Asia,1652961762
China,3,China,1153704252
China,3,Asia,2056859325
China,4,China,1264099069
China,4,Asia,2470990535
China,5,China,1348191368
China,5,Asia,2871849959
China,6,China,1393715448
China,6,Asia,3064534734
China,7,China,1424929781
China,7,Asia,3238156754
Colombia,1,Colombia,20905254
Colombia,1,South America,172041902
Colombia,2,Colombia,26176195
Colombia,2,South America,215612811
Colombia,3,Colombia,32601393
Colombia,3,South America,264545022
Colombia,4,Colombia,39215135
Colombia,4,South America,310419147
Colombia,5,Colombia,44816108
Colombia,5,South America,348262142
Colombia,6,Colombia,47119728
Colombia,6,South America,366014668
Colombia,7,Colombia,50930662
Colombia,7,South America,380599381
Comoros,1,Comoros,242351
Comoros,1,Africa,365201997
Comoros,2,Comoros,328328
Comoros,2,Africa,481208049
Comoros,3,Comoros,431119
Comoros,3,Africa,637719510
Comoros,4,Comoros,536758
Comoros,4,Africa,818409274
Comoros,5,Comoros,656024
Comoros,5,Africa,1054572048
Comoros,6,Comoros,730216
Comoros,6,Africa,1200372226
Comoros,7,Comoros,806166
Comoros,7,Africa,1359865644
Cook Islands,1,Cook Islands,20470
Cook Islands,1,Oceania,19459800
Cook Islands,2,Cook Islands,17651
Cook Islands,2,Oceania,22902589
Cook Islands,3,Cook Islands,17123
Cook Islands,3,Oceania,26726699
Cook Islands,4,Cook Islands,15897
Cook Islands,4,Oceania,31206881
Cook Islands,5,Cook Islands,17212
Cook Islands,5,Oceania,37085552
Cook Islands,6,Cook Islands,17695
Cook Islands,6,Oceania,40385588
Cook Islands,7,Cook Islands,17029
Cook Islands,7,Oceania,43916397
Costa Rica,1,Costa Rica,1855697
Costa Rica,1,North America,313578909
Costa Rica,2,Costa Rica,2414303
Costa Rica,2,North America,365879058
Costa Rica,3,Costa Rica,3158253
Costa Rica,3,North America,418108172
Costa Rica,4,Costa Rica,3979193
Costa Rica,4,North America,482090391
Costa Rica,5,Costa Rica,4622252
Costa Rica,5,North America,538098399
Costa Rica,6,Costa Rica,4895242
Costa Rica,6,North America,565488608
Costa Rica,7,Costa Rica,5123105
Costa Rica,7,North America,589113488
Croatia,1,Croatia,4492638
Croatia,1,Europe,651431353
Croatia,2,Croatia,4680144
Croatia,2,Europe,687847015
